RBD,NOM_RBD,DOCENTES
659,ESCUELA PADRE BLAS HERNANDEZ SANCHEZ,4
661,ESCUELA LUIS AMENABAR OSSA,5
662,ESCUELA DE MAITENCILLO,4
664,COLEGIO PARROQUIAL DE ANDACOLLO,50
665,LICEO CARLOS ROBERTO MONDACA CORTES,29
666,ESCUELA BASICA LUCILA GODOY ALCAYAGA,23
668,ESCUELA EDMUNDO VIDAL CARDENAS,27
669,ESCUELA NEFTALI REYES,14
671,ESCUELA RIOS DE ELQUI,9
672,ESCUELA DE DIAGUITAS JUAN TORRES M.,13
673,ESCUELA JOSE ABELARDO NUNEZ,18
674,ESCUELA DE VINITA ALTA,1
676,ESCUELA DE SAN CARLOS,2
678,ESCUELA AMELIA BARAHONA MUJICA,6
680,ESCUELA FEDERICO BARNES PAYNE,11
681,ESCUELA DE EL ARENAL,6
682,ESCUELA DAGOBERTO CAMPOS NUNEZ,11
683,ESCUELA DE LA CALERA,4
686,ESCUELA BÁSICA MARIO AQUILES RODRIGUEZ,10
687,ESCUELA DE HUANTA,1
688,ESCUELA DE CHAPILCA,4
689,ESCUELA DE VARILLAR,2
690,LICEO BICENTENARIO DE EXCELENCIA COLEGIO ANTONIO VARAS,36
691,ESCUELA MUNICIPAL CIELO CLARO--PAIHUANO,19
692,ESCUELA JERONIMO GODOY VILLANUEVA,15
693,ESCUELA BASICA HECTOR MANUEL HERNANDEZ,6
694,ESCUELA GABRIELA MISTRAL,12
695,ESCUELA BASICA SANTIAGO BUERAS A.,7
696,ESCUELA MUNICIPAL LA ORTIGA,6
697,ESCUELA MUNICIPAL ALCOHUAZ,4
699,ESCUELA MARIA ISABEL PERALTA P.,5
701,LICEO ESTELA AVILA DE PERRY,42
704,LICEO ALEJANDRO ALVAREZ JOFRE,55
705,LICEO BICENTENARIO DE EXCELENCIA  POLITECNICO DE OVALLE,65
706,COLEGIO FRAY JORGE,50
707,ESCUELA BASICA HELENE LANG,46
708,ESCUELA ANTONIO TIRADO LANAS,26
709,ESCUELA BASICA OSCAR ARAYA MOLINA,36
710,ESCUELA BASICA JOSE TOMAS OVALLE B.,29
711,ESCUELA GUARDIAMARINA ERNESTO RIQUELME V,40
712,ESCUELA BÁSICA ARTURO ALESSANDRI PALMA,43
713,ESCUELA ARTURO VILLALON SIEULANNE,25
714,ESCUELA BASICA VISTA HERMOSA,42
715,ESCUELA BASICA BERNARDO O¦HIGGINS RIQUELME,23
716,ESC.PADRE JOSEPH BENEDIKT STEGMEIER,36
718,ESCUELA MARCOS MACUADA OGALDE,19
719,COLEGIO YUNGAY,23
721,ESCUELA BASICA FLORENCIO ESPINOZA LOPEZ,42
722,ESC. HEBERTO VELAZQUEZ VELAZQUEZ,28
723,ESCUELA VILLORRIO EL TALHUEN,5
725,ESCUELA EL CRISOL,20
728,ESCUELA EL ALGARROBO,1
729,ESCUELA BASICA LOS OLIVOS,11
730,ESCUELA BASICA LUCIA NUNEZ DE LA CUADRA,17
731,ESCUELA EL TRAPICHE,6
733,ESCUELA PADRE DAMIAN HEREDIA,9
736,ESCUELA BASICA LOS SOSSAS,1
737,ESCUELA BASICA VALENTIN LETELIER,16
740,ESCUELA PEDRO ENRIQUE ALFONSO BARRIOS,14
743,ESCUELA CARACHILLA,9
744,ESCUELA ORURO,1
747,ESCUELA CERRO TAMAYA,15
750,ESCUELA ELVIRA DEL CARMEN OCHOA AVILES,13
753,ESC.BAS.JUAN PABLO ARTIGUES PENAFIEL,19
754,ESCUELA LA ARAUCANA,4
756,ESCUELA SANTA CATALINA,2
757,ESCUELA BASICA EL GUINDO,13
758,ESCUELA CORDILLERA,1
759,ESCUELA BASICA GASPAR CABRALES,2
760,ESCUELA LAS LOMAS DE PUNILLA,1
763,COLEGIO SAN JUAN BAUTISTA,66
766,COLEGIO SANTA MARIA EUFRASIA,65
767,COLEGIO PARTICULAR GABRIELA MISTRAL,17
768,COLEGIO LA PROVIDENCIA,44
769,COLEGIO SAN VIATOR,34
771,ESCUELA PARTICULAR EL ARRAYAN,1
772,LICEO AGRICOLA DE OVALLE TADEO PERRY BARN,24
773,ESCUELA SAMO ALTO,10
774,COLEGIO PICHASCA,29
775,ESCUELA BASICA DE FUNDINA,4
776,ES.BAS.SAN PEDRO DE RIO HURTADO,1
777,ESC.BASICA HIJOS DE EL CHANAR,3
778,ESCUELA BASICA LAS BREAS,4
780,ESCUELA BASICA TABAQUEROS,4
783,ESCUELA DOCTOR JOSE LUIS ARRANO,1
784,ESCUELA BASICA HUAMPULLA,4
785,ESCUELA BASICA LOS MAITENES DE SAMO ALTO,1
786,ESCUELA BASICA LA HUERTA,1
787,ESCUELA BASICA MORRILLOS,1
788,ESCUELA BASICA VADO DE MORRILLOS,3
789,ESCUELA EL ESPINAL DE RIO HURTADO,1
790,ESCUELA BASICA EL ROMERAL,3
792,ESCUELA BASICA ESTANCIA EL SAUCE,2
793,ESCUELA BASICA DE SERON,5
795,ESC.BASICA DOMINGO SANTA MARIA GONZALEZ,1
797,ESCUELA LOS MAITENES DE SERON,3
798,ESCUELA EL PALQUI,50
799,COLEGIO REPUBLICA DE CHILE,42
800,ESCUELA HUATULAME,17
802,LICEO BICENTENARIO DE EXCELENCIA LICEO PRESIDENTE EDUARDO FREI MONTALVA,37
803,ESC.CONCENTRACION FRONTERIZA DE TULAHUEN,21
804,ESCUELA BASICA WENCESLAO VARGAS,18
805,ESCUELA EL MAQUI,2
806,ESCUELA FRONTERA LAS RAMADAS,2
807,ESCUELA EL MAITEN,1
809,ESCUELA DE HUANILLA,2
810,ESCUELA CENTRAL HIDROELECTRICA LOS MOLLE,1
812,ESCUELA SOL DE LAS PRADERAS,2
813,ESCUELA BASICA LA UNION,2
814,ESCUELA BASICA EL TAYAN,3
816,ESCUELA GUSTAVO CONTRERAS CASTRO,1
817,ESCUELA NUEVA ESPERANZA DE PEJERREYES,3
819,ESCUELA BUENAVENTURA,1
820,ESCUELA SOL DEL CUYANO,3
821,ESCUELA DE FLOR DEL VALLE,16
822,ESCUELA JUNTAS,11
823,ESCUELA BASICA COLLIGUAY,2
824,ESCUELA HEROES DE CHILE,1
825,ESCUELA BASICA PABLO NERUDA,2
826,ESCUELA BASICA HACIENDA VALDIVIA,1
827,COLEGIO RIO GRANDE,22
830,ESCUELA MARCELA PAZ,4
